0) 0.224434,0.224262,13.41856
1) 0.693394,0.402602,13.4342
8) 2.170944,-0.021448,13.19395
3) 1.378061,0.072102,12.2162
4) 2.484794,0.035402,12.3168
137) 3.032734,0.124262,13.18964
2) 1.768319,0.781377,13.039125
24) 4.513528,0.090268,13.454633
10) 3.957378,0.397785,13.022433
11) 3.117244,-0.025098,12.5135
12) 3.608894,0.240051,12.281125
14) 2.665294,0.119402,11.247
15) 2.970794,0.118402,11.7471
16) 4.831594,0.622801,9.538
18) 4.442794,-0.038999,11.5387
20) 4.983454,0.302761,12.5422
21) 4.221044,0.164701,12.15965
23) 6.136894,0.092401,10.5245
25) 6.428494,0.052501,13.7437
26) 7.264544,0.199375,13.07615
167) 5.842694,-0.038999,11.539
42) 7.591261,0.1038,11.5627
32) 8.192095,1.5567,11.2053
34) 10.399954,0.05982,12.98516
35) 10.400094,-3.396e-07,13.5672
120) 10.591844,0.142625,11.504875
22) 5.900894,0.881301,10.9135
40) 9.718744,0.34605,10.919
122) 8.920294,0.02878,12.56158
44) 9.114894,0.392557,13.412486
71) 7.203494,-0.02,7.4299
70) 9.706595,1.5561,8.2566
13) 4.081695,1.447901,11.4693
56) 10.095394,0.2909,3.5154
55) 9.828094,0.6914,4.0546
73) 10.338394,-0.0818,6.7734
50) 8.467195,2.0724,7.9162
63) 7.932595,1.1789,3.102
274) 10.702194,0.43,2.947
67) 10.484294,0.2625,5.7036
117) 10.216894,0.283,9.6668
69) 10.175394,0.390733,10.436233
116) 9.147694,0.283,9.6668
59) 11.942294,-0.055301,7.8189
77) 5.282378,0.423034,13.2647
78) 0.520594,0.052802,11.6849
79) 0.520594,0.554502,8.9374
81) 1.905794,-0.048998,10.226
83) 4.603294,0.078001,8.8554
228) 3.336194,0.079701,3.9268
6) 3.021128,0.732235,13.368433
88) 4.870594,-0.070999,3.4911
102) 0.301894,-0.019998,2.5671
90) 7.179194,-0.02,9.1805
91) 6.304394,0.751901,5.8495
93) 7.252095,1.1677,2.3483
94) 4.238695,1.123601,6.0683
95) 2.416094,0.930002,8.5727
309) 9.019194,-0.1767,6.7734
49) 6.037095,2.072401,7.9162
100) 6.304395,1.178901,3.102
104) 1.103794,0.188102,10.3233
105) 5.866994,0.113201,9.8613
107) 1.371194,0.077402,11.3931
9) 4.692694,0.552201,13.6228
111) 6.359944,0.046651,12.95115
112) 5.736228,0.208801,12.089433
113) 6.764444,0.038301,11.2341
115) 8.175594,0.283,9.6668
118) 10.654394,-0.02,9.9586
121) 9.717761,0.096983,12.4766
123) 7.779134,0.14398,12.19398
124) 7.923394,0.132867,13.403733
129) 10.046074,0.21856,11.91378
131) 8.588694,0.2753,10.4205
132) 6.875494,0.084501,13.53875
139) 1.396419,0.094877,12.9423
140) 0.034594,-0.019998,13.0221
183) 10.116394,-0.0957,7.5983
39) 9.390695,1.8255,10.2017
142) 10.022494,0.6614,8.0864
148) 10.095394,-0.02,9.1805
149) 9.625594,0.4838,10.2737
155) 8.564394,-0.0084,9.7154
163) 7.057694,-0.067899,10.3962
165) 4.919194,0.586301,11.0041
166) 4.967794,0.099651,11.63625
215) 10.431428,0.050833,12.426967
176) 6.665994,0.072751,12.35355
177) 8.421961,0.167467,12.8571
179) 10.750144,0.0187,10.85155
36) 10.455694,0.843,11.9139
289) 9.651694,-0.0674,13.7434
190) 10.553794,-0.02,8.6681
192) 8.682594,0.1056,9.2759
198) 8.172294,0.3268,7.9143
200) 9.800494,0.2371,7.039
201) 9.800494,0.0765,9.592
207) 8.561094,-0.1444,8.1088
212) 2.030894,0.119102,12.67985
213) 5.644894,-0.007299,12.5583
219) 10.213594,-0.0706,5.9935
222) 10.237894,-0.163,4.4618
224) 9.079528,0.2932,11.133
229) 9.533094,0.089,3.1002
230) 2.971694,-0.113698,1.9574
235) -0.187505,1.158502,4.2243
236) -0.843606,-0.011097,4.8994
243) 0.274194,0.107202,12.3881
252) 2.478694,0.261802,12.9369
253) 1.687194,-0.054298,13.576
254) 7.227994,0.0708,12.2005
255) 10.143094,0.31085,11.1779
256) 9.271161,0.131267,12.045667
260) 10.882744,0.13135,9.42985
68) 10.484295,1.3282,8.9617
271) 10.760294,0.3111,4.3112
66) 10.484294,0.6482,5.2903
279) 10.827194,0.2051,7.3374
282) 8.994094,-0.0105,10.6386
43) 8.591944,0.6745,12.24335
292) 9.265994,-0.1207,12.97075
302) 10.593694,0.3198,4.7974
305) 2.393294,-0.019998,13.782
307) 8.260094,0.1293,11.3357
311) 8.956894,-0.4292,13.2496
312) 5.289094,-0.152399,13.6928
314) 5.646794,-0.341699,13.3554
315) 6.045694,-0.123299,13.41
316) 3.644694,0.313301,10.5488
317) 7.277394,0.4357,10.805